Name,Summary,Tagged Interests
3-D Printing Club,The purpose of the Penn State 3-D Printing Club is to provide students with the means and opportunity to construct and work with open source 3-D printers and projects associated with 3-D printers.,General Student Organizations
A-7,To provide an intimate family atmosphere for Penn State students to promote and fundraise for the Interfraternity Council and Panhellenic Dance Marathon.,Dance
Academy Health Student Chapter,To acquaint students with the fields of health services research and health policy. To provide learning opportunities through interaction with health services research and health policy practitioners.,Service
Access Club at Penn State,We are a space for people of all abilities to form both friendships and alliances on issues that affect persons with disabilities. We aim to spread awareness about disability rights issues and to advocate for a more accessible campus and world. ,"General Student Organizations, Social Club, Advocacy"
Accounting Society,"Stimulates the interests of the University in various accounting fields and presents the students with experienced viewpoints from the business world.

GroupMe Link:

https://groupme.com/join_group/69833202/Ul4k1rPq","Business, Special Interest"
Aces Dance Crew,"The purpose of the ACEs Dance Crew is to bring people who like street dancing, such as Hip-Hop, Breaking, MV performance and Contemporary, together, have fun and progress. ",Dance
Acoustical Society of America - Penn State Student Chapter,"To stimulate interest in acoustics, encourage acoustical research, diffuse knowledge of acoustics, promote its practical applications, and provide a forum wherein the many aspects of acoustics and related disciplines can b...",Special Interest
Active Minds at World Campus,"We aim to Educate, Empower, & Encourage each other and others to talk about mental health. Each meeting features mindfulness, fellowship, and education about mental health topics. All are welcome which include those impacted by mental health in any way.",Psychology
Actuarial Science Club,"Helps actuarial science students to grow professionally and technically, pass actuarial exams, and secure jobs and internships.","Science, General Student Organizations"
Adult Education Graduate Student Association,The purpose of the Adult Education Graduate Student Association is to provide students within the adult education program with a forum to discuss and research new advances in the field of adult education. The Adult Educati...,General Student Organizations
Adult Learners at Penn State,"Adult Learners at Penn State is a student organization that seeks to support and enhance the educational and developmental experiences of the adult learner, as defined by Penn State, to facilitate a sense of belonging/ease the integration in campus life.","Leadership, General Student Organizations"
Adventist Campus Ministries,"Provides a place for Adventists/Non-Adventist to discuss in depth aspects of the Bible; promotes spiritual growth, both personal and corporate.","Business, Religious, Christian Organizations"
Advertising and Public Relations Club,"Provides and promotes a better understanding of the function and values of advertising, and stimulates and encourages advertising professionalism through advertising education. Our goal is to educate and guide students in The College of Communications.","Marketing, General Student Organizations, Public Relations"
Aero Design,The purpose of the Penn State Aero Design club is to create a design environment where students can design and build remote control aircraft and compete in national or international competitions.,"DIY, International, Fashion, Sustainability, General Student Organizations"
Aerospace Graduate Student Association,"The purpose of AeroGSA is to promote and to enhance graduate school life outside work/classes within the Aerospace Department. We host several professional development activities, and promote social interaction through meet & greet events.","Leadership, Social Club, Art"
Aerospace Studies Student Organization,"To view the main page of Air Force ROTC at Penn State, please visit www.airforce.psu.edu.

The mission of the Aerospace Studies Student Organization is to increase cadet engagement through professional development and morale building opportunities","General Student Organizations, Leadership, Community"
African Students Association,"""To unite the Sons and Daughters of the Motherland and all those concerned with Her welfare.""",General Student Organizations
Afrique Fusion,Spreading the culture of Africa through dance to enhance the understanding of our African Heritage.,"Dance, Heritage, Books"
Ag Advocates,"The Ag Advocates serve as ambassadors for the College of Agricultural Sciences, connecting with future students, alumni, and other stakeholders to share their enthusiasm for Penn State Ag and its critical role in nourishing both people and the planet.","Science, Heritage"
Agribusiness Management/Nama Club,The Agribusiness Management/NAMA Club at Penn State is a student run organization devoted to professional and educational development specific to the food and agriculture industry. We strive every semester to create a dive...,"Business, Leadership, General Student Organizations, Food"
Agricultural and Biological Engineering Graduate Student Council,To provide graduate representation and offer a venue for building collegiality for ABE graduate students.,"Heritage, Engineering"
Agricultural Robotics Club,"Agribot fosters an interest in science, technology, engineering, and mathematics (STEM) fields. Students engage in hands-on learning, applying theoretical knowledge to practical projects, mostly related to agricultural tasks.","Mathematics, Technology, Special Interest, Heritage, Engineering, Science, General Student Organizations"
Agricultural Student Council,"Agricultural Student Council is an organization focused on unity, leadership, and professional development for the clubs in the College of Agricultural Sciences by building bridges between clubs, administration, and other colleges within Penn State.","Science, Leadership, General Student Organizations, Heritage"
Agronomy Club at Penn State,"Stimulates agronomic interest among students, and fosters a spirit of cooperation through wider acquaintances, and mutual friendships among students and the University community.","General Student Organizations, Community, Social Club, Special Interest"
Al-Ghadeer Association,Al-Ghadeer Association is a community for Shi'as and those interested to know more about Shia Islam in the PSU and State College area.,"Muslim Organizations, Community, Special Interest"
Alliance Christian Fellowship,"A Penn State campus ministry that is run by students and functions as a church away from home for anyone who wants to grow their relationship with God through worship, fellowship with like-minded students, Biblical teaching, and prayer.",Christian Organizations
Ally House,Ally House is a special living option designed to give members of the queer community a safe and comfortable living environment.,"LGBTQ+, Community, Fashion, Sustainability"
Alpha Chi Rho,A Fraternity looking to recruit men of word and deed.,General Student Organizations
Alpha Delta Phi,"A fraternity focused on brotherhood, positive change within our community, and professional growth within ourselves.",Community
Alpha Delta Pi,"Alpha Delta Pi is a Panhellenic Sorority founded on a commitment to strengthening our own character and personality, watching our attitudes towards our fellow-beings, recognizing the values of high educational standards, and developing faith and loyalty.","Religious, Fitness"
Alpha Epsilon Delta,"AED is Penn State's ""pre-health toolbox."" We offer professional connections and resources, service projects, and an inclusive community to support student journeys into medicine. AED is dedicated to fostering the development of future healthcare leaders.","Medicine & Health, Leadership, Community, Service"
Alpha Epsilon Honor Society Omicron Chapter,"The Alpha Epsilon Honor Society is the honor society for outstanding agricultural, biological, and food engineers.","Heritage, Food"
Alpha Epsilon Pi,"Alpha Epsilon Pi (AEPi) is the world’s Jewish college fraternity, operating chapters on more than 190 college campuses in seven countries. AEPi Penn State is the Pi Deuteron/Phi Sigma Delta Sigma Chapter of the national organization.",Jewish Organizations
Alpha Gamma Rho,"The Purpose of Alpha Gamma Rho is to make better men, by surrounding our members with influences that encourage individual endeavor, resourcefulness, and aggressive effort.",General Student Organizations
"alpha Kappa Delta Phi International Sorority, Inc.","alpha Kappa Delta Phi Sorority promotes Sisterhood, Scholarship, Leadership, Service and Asian Awareness. We are the largest Asian-interest sorority, with chapters at universities across the United States and Canada. The Nu-torious Nu Chapter was estab...","Leadership, International, Service, Asian Student Life, Special Interest"
Alpha Kappa Lambda,"Alpha Kappa Lambda (ΑΚΛ) is an American collegiate social fraternity for men founded at the University of California, Berkeley, in 1914. Today, it operates 23 active chapters and colonies and over 27,000 initiated members.",Social Club
Alpha Kappa Psi,"Alpha Kappa Psi is the proud home to brothers pursuing majors in nearly every academic college! The diverse mindsets, passions, and interests among each brother has made the fraternity a community full of growth and opportunity for each individual.","Community, Special Interest"
Alpha Nu Sigma Society,"The objective of the Alpha Nu Sigma Society shall be to recognize high scholarship, integrity, and potential achievement in applied nuclear science and nuclear engineering among outstanding students by means of membership in the society.","Science, Engineering"
Alpha Omega Campus Ministry,"Club about Jesus open to all! No experience or background necessary. We love having open discussions directly from the Bible! Bibletalks twice a week. Fun activities on Fridays (Debate Night, Family Feud, Blindfolded Musical Chairs, Manhunt, etc.)","Music, General Student Organizations, Public Speaking, Christian Organizations"
Alpha Omicron Pi,"The Object of the Fraternity shall be to encourage a spirit of fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty.",General Student Organizations
Alpha Phi,"Alpha Phi International Fraternity is a membership organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity and advocating service. Alpha Phi develops character for a lifetime.","Leadership, Service, International"
"Alpha Phi Alpha Fraternity, Inc.","The first Black Intercollegiate Fraternity founded on Tuesday December 4th, at Cornell University in Ithica New York",Black Student Life
Alpha Phi Delta,"Alpha Phi Delta was founded at Penn State in 1929. Originally founded as an Italian Fraternity, Alpha Phi Delta now looks to its Italian Heritage as it progresses into the future.
","Heritage, European Student Life"
Alpha Phi Omega,Prepare campus and community leaders through service.,"Community, Service"
Alpha Pi Mu,Promotes the professional development and welfare in the field of industrial engineering and encourages participation in activities and interests of industrial engineering.,"Leadership, Special Interest, Engineering, Art"
Alpha Sigma Alpha,Elevating the influence of women in the world,Women’s Empowerment
Alpha Sigma Phi,Alpha Sigma Phi Upsilon chapter founded in 1918 is a greek organization predicated on the principle of bettering the man. Alpha Sigma Phi seeks to ensure that every individual apart of the organization makes a positive impact here at Penn State. ,Art
Alpha Tau Omega,The Leadership Fraternity of America,Leadership
Alpha Xi Delta,"Realize Your Potential. 
The mission of Alpha Xi Delta is to enrich the life of every Alpha Xi Delta. We will nurture unity and cooperation, foster intellectual, professional and personal growth, exemplify the highest ethical conduct, and more. ",General Student Organizations
Alpha Zeta,"Alpha Zeta is an Honorary, Professional, Co-ed, Agriculture based Fraternity",General Student Organizations
Alumni of Pennsylvania School for Excellence in the Agricultural Sciences," Alumni of PGSAS/PSEAS providing outreach, network, and support.","Science, Heritage"
Alzheimer's Buddies at Penn State,A student-led organization aimed to overcome the social disengagement experienced by those with Alzheimer’s Disease by pairing student volunteers 1-to-1 with dementia residents.,"Social Club, Community, Service"
Alzheimer’s Awareness Club at Penn State,"The Alzheimer's Awareness Club aims to raise awareness for Alzheimer's and dementia and to support research, advocate for improved healthcare services, and provide resources for those navigating the challenges of Alzheimer's","Medicine & Health, General Student Organizations, Service"
Amateur Radio Club,"As a chartered club with the ARRL (American Radio Relay League), PSARC engages in amateur radio communications for enjoyment and service to increase the radio operating proficiency and technical knowledge of its members.

","General Student Organizations, Service, Art, Broadcasting"
Ambitions Performance Company,"Mission Our Purpose: To have an open group and Company that will help to expose dancers to a variety of different styles and techniques along with having a focus on creating, shaping, and presenting choreography.The G...","Dance, Fashion"
American Association of Drilling Engineers,"The American Association of Drilling Engineers is a professional society with the purpose of gaining energy industry exposure for its members. This is pursued with technical electives, technical discussions, and tours of oil and natural gas rigs.",General Student Organizations
American Association of University Women at World Campus,AAUW at Penn State World Campus is a community of leaders who are working to educate and empower women and girls. Develop leadership skills and connect with other women leaders across the globe.,"Women’s Empowerment, Leadership, Community"
American Choral Directors Association of Penn State,"The ACDA chapter at Penn State is a vibrant and dynamic group of choral enthusiasts dedicated to the advancement of choral music through education, performance, and community outreach. The chapter provides opportunities for professional development. ","Leadership, Music, Community"
American College of Health Care Administrators,The Purpose of the American College of Health Care Administrators is to provide professional development and guidance to its members in order to help them prepare for the challenges in long-term care administration.,"Leadership, Dance"
American Foundation for Suicide Prevention at Penn State,"AFSP Penn State aims to raise awareness about suicide prevention, reduce the stigma surrounding mental health, and provide support for those who have lost loved ones to suicide. ",Psychology
American Institute of Aeronautics and Astronautics,Our chapter’s mission is to instill a passion for aerospace engineering that leads our members to pursue impactful and successful careers. We seek to promote technical excellence and collaboration between our members and the Aerospace faculty at PSU.,Engineering
American Institute of Architecture Students,The American Institute of Architecture Students at Penn State is a local chapter of the largest student-run architecture organization worldwide. It provides a place for like-minded students to grow together as individuals and professionals. ,General Student Organizations
American Institute of Chemical Engineers,"We strive to enhance the experience of all Chemical Engineering students by offering resources and hosting a variety of events including professional development, research integration, and panel events with alumni, faculty, and other students","Leadership, Engineering"
American Marketing Association at Penn State,"The mission of Penn State AMA is to provide its student members with real-world business experience; not just limited to the fundamentals of marketing, but also exploring all professional and rudimentary skills of business...","Business, Marketing"
American Medical Student Association,"AMSA is an academic and professional development organization for students interested in attending medical or PA school. Meetings feature guest speakers, networking events, and application help sessions.","Leadership, Special Interest, Social Club"
American Medical Women's Association,"The AMWA's goal is to advocate for equity and excellence in healthcare, advancing women in medicine.  With values of mentorship, equity, diversity, integrity, inclusion, and collaboration, the AMWA aims to support female physicians and pre-med students.","Women’s Empowerment, Medicine & Health, Diversity"
American Nuclear Society,"Promotes fellowship, knowledge, and professional contacts with nuclear science and engineering, and within the field of nuclear science.","Science, Engineering"
American Society for Biochemistry and Molecular Biology Graduate Student and Post-Doc Chapter,"We are devoted to building a diverse, inclusive and vibrant community of grad students and postdocs for the advancement of biochemistry and molecular biology research, education and science outreach through networking and career development opportunities","Science, Leadership, Community, Social Club"
American Society for Microbiology,Develops leadership and aids in the general welfare of students interested in microbiology through active participation in special projects and guest speakers.,"Science, Leadership, Special Interest, Art"
American Society of Agricultural and Biological Engineers,"The purpose of the pre-professional branch of ASABE is to promote directly and indirectly the interests of the students of Agricultural and Biological Engineering, particularly as these interests relate to their profession.","Special Interest, Heritage, Engineering, Art"
American Society of Civil Engineers,"Our goal as a student organization is to encourage active interest in the study of Civil and Environmental Engineering, aid in professional and intellectual advancement, and establish bonds of good fellowship among our members.","Special Interest, General Student Organizations, Engineering, Sustainability"
"American Society of Heating, Refrigerating and Air-Conditioning Engineers","Promotes the advancement of the sciences of heating, refrigeration, and air conditioning engineering, and related sciences, through lectures, demonstrations, and publications.","Science, Engineering"
American Society of Mechanical Engineers,"Technical and social community for engineers at Penn State, especially mechanical engineers. This happens through social events, workshops, design competitions, and more!","Community, Social Club, Engineering, Fashion"
American String Teachers Association at Penn State,"ASTA is an undergrad and graduate student organization that promotes a greater interest, participation, high standards and additional teaching/engaging opportunities for all string players at all levels within the music community.","Community, Art, Special Interest, Music, General Student Organizations"
